x,count
2016-12-20,1
2019-05-13,1
2019-05-15,1
2019-06-01,1
2019-06-05,1
2019-06-07,1
2019-08-10,1
2019-08-22,1
2019-08-28,1
2019-09-12,2
2019-09-13,2
2019-09-22,34
2019-09-23,34
2019-09-24,30
2019-09-25,34
2019-09-26,33
2019-09-27,39
2019-09-28,38
2019-09-29,41
2019-09-30,33
2019-10-01,25
2019-10-02,43
2019-10-03,35
2019-10-04,46
2019-10-05,40
2019-10-06,45
2019-10-07,38
2019-10-08,40
2019-10-09,41
2019-10-10,45
2019-10-11,36
2019-10-12,42
2019-10-13,47
2019-10-14,21
2019-10-15,49
2019-10-16,37
2019-10-17,37
2019-10-18,4
